No,학교명,본분교명,학교종류,학교유형,설립유형,지역명,"입학정원(학부)
(2025,명)","졸업생수(학부)
(2025,명)","전임교원수(학부+대학원)
(2025,명)","재학생(학부)
(2025,명)","신입생 경쟁률(학부)
(2025,:1)","신입생 충원율(학부)
(2025,%)","취업률(학부)
(2024,%)","외국인 학생 수(학부)
(2025,명)","전임교원 1인당 학생 수(학생정원기준)(학부+대학원)
(2025,명)","전임교원 확보율(학생정원기준)(학부+대학원)
(2025,%)","전임 교원 확보율(재학생 기준)(학부+대학원)
(2025,%)","전임교원 강의 담당 비율(학부)
(2025,%)","학생 1인당 연간 장학금(학부)
(2025,원)","연평균 등록금(학부)
(2025,천원)","학생 1인당 교육비(학부+대학원)
(2025,천원)","기숙사 수용율(학부+대학원)
(2024,%)","학생 1인당 도서 자료 수(학부+대학원)
(2024,권)"
28,경기대학교,제2캠퍼스,대학,대학교,사립,서울,328,477,31,"1,841",25.5,100.0,64.9,294,50.62,44.92,43.09,55.1,"3,462,183.4","7,548.8",0.0,0.0,0.0
29,경남과학기술대학교,본교,대학,대학교,국립,경남,0,946,0,"1,285",0.0,0.0,57.0,0,0.0,0.0,0.0,0.0,"2,952,829.6","4,048.0",0.0,0.0,0.0
30,경남대학교,본교,대학,대학교,사립,경남,"1,960","2,493",365,"8,352",4.8,96.3,61.2,407,28.25,77.66,80.75,75.5,"4,001,530.2","6,850.3","15,090.3",16.9,97.7
31,경남도립거창대학,본교,전문대학,전문대학,공립,경남,344,343,26,845,3.1,100.0,73.6,23,33.62,57.78,61.9,31.2,"3,107,770.9","2,852.7","22,616.5",53.7,53.0
32,경남도립남해대학,본교,전문대학,전문대학,공립,경남,340,327,19,798,3.1,100.0,72.5,36,39.74,52.78,48.72,34.0,"3,232,524.3","2,759.1","23,724.0",55.7,50.4
33,경남정보대학교,본교,전문대학,전문대학,사립,부산,"1,965","2,007",154,"5,418",6.0,81.0,73.6,409,30.27,68.44,60.87,52.7,"4,687,318.5","6,530.0","13,990.8",17.2,41.3
34,경동대학교,본교,대학,대학교,사립,강원,0,99,29,"1,126",0.0,0.0,85.2,"1,169",5.24,362.5,54.72,87.2,"7,076,342.1","6,728.7","14,389.5",80.3,60.2
35,경동대학교,제4캠퍼스,대학,대학교,사립,경기,713,577,92,"2,453",6.7,100.0,74.8,392,29.33,72.44,80.7,80.0,"3,803,425.2","8,137.3",0.0,20.3,0.0
36,경동대학교,제3캠퍼스,대학,대학교,사립,강원,842,898,99,"3,566",5.8,99.9,82.8,2,36.44,55.0,55.62,78.7,"4,298,497.6","8,954.4",0.0,28.0,0.0
37,경동대학교,제2캠퍼스,대학,대학교,사립,강원,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
